p p_est sigG sigG_est
0.01 0.1138 1e-05 0.0002655
0.01 0.1239 1e-05 0.0002436
0.01 0.1125 1e-05 0.0002679
0.01 0.1225 1e-05 0.000246
0.01 0.1271 1e-05 0.0002423
0.01 0.1282 1e-05 0.0002382
0.01 0.1151 1e-05 0.0002629
0.01 0.1097 1e-05 0.0002759
0.01 0.1161 1e-05 0.0002601
0.005 0.1138 0.0001 0.0002673
0.005 0.1084 0.001 0.0003053
0.05 0.1377 0.0001 0.0002461
0.05 0.0482 0.001 0.001352
0.005 0.1159 0.0001 0.0002642
0.005 0.0928 0.001 0.0003544
0.05 0.1229 0.0001 0.0002809
0.05 0.0511 0.001 0.001419
0.005 0.1185 0.0001 0.0002567
0.005 0.1077 0.001 0.0002985
0.05 0.1289 0.0001 0.0002649
0.05 0.0535 0.001 0.001204
0.005 0.1338 0.0001 0.000232
0.005 0.0963 0.001 0.0003694
0.05 0.1461 0.0001 0.0002383
0.05 0.0516 0.001 0.001509
0.005 0.1109 0.0001 0.000274
0.005 0.0997 0.001 0.0003257
0.05 0.1339 0.0001 0.0002553
0.05 0.0544 0.001 0.001296
0.005 0.1277 0.0001 0.0002417
0.005 0.1038 0.001 0.0003294
0.05 0.1400 0.0001 0.0002477
0.05 0.0515 0.001 0.001401
0.005 0.1174 0.0001 0.0002617
0.005 0.1008 0.001 0.0003217
0.05 0.1411 0.0001 0.000239
0.05 0.0537 0.001 0.001142
0.005 0.1140 0.0001 0.0002702
0.005 0.1150 0.001 0.0002826
0.05 0.1285 0.0001 0.0002643
0.05 0.0489 0.001 0.001401
0.005 0.1180 0.0001 0.0002541
0.005 0.0981 0.001 0.0003366
0.05 0.1238 0.0001 0.0002673
0.05 0.0456 0.001 0.001391
0.005 0.1278 0.0001 0.0002415
0.005 0.1118 0.001 0.0003047
0.05 0.1361 0.0001 0.0002501
0.05 0.0478 0.001 0.001422
0.005 0.1206 0.0001 0.000256
0.005 0.1016 0.001 0.0003319
0.05 0.1315 0.0001 0.0002565
0.05 0.0465 0.001 0.001393
0.005 0.1119 0.0001 0.0002709
0.005 0.0920 0.001 0.0003587
0.05 0.1377 0.0001 0.0002452
0.05 0.0485 0.001 0.001394
0.005 0.1125 0.0001 0.0002709
0.005 0.0985 0.001 0.0003401
0.05 0.1344 0.0001 0.0002513
0.05 0.0553 0.001 0.001149
0.005 0.1115 0.0001 0.0002747
0.005 0.0927 0.001 0.0003769
0.05 0.1301 0.0001 0.0002575
0.05 0.0493 0.001 0.001321
0.005 0.1186 0.0001 0.0002591
0.005 0.1025 0.001 0.0003303
0.05 0.1369 0.0001 0.000252
0.05 0.0495 0.001 0.001356
0.005 0.1346 0.0001 0.0002285
0.005 0.1003 0.001 0.0003447
0.05 0.1378 0.0001 0.0002521
0.05 0.0524 0.001 0.001376
0.005 0.1250 0.0001 0.0002474
0.005 0.0935 0.001 0.0003564
0.05 0.1426 0.0001 0.0002423
0.05 0.0493 0.001 0.001376
0.005 0.1142 0.0001 0.0002661
0.005 0.0956 0.001 0.0003385
0.05 0.1326 0.0001 0.000252
0.05 0.0484 0.001 0.001286
0.005 0.1279 0.0001 0.0002385
0.005 0.1100 0.001 0.0002955
0.05 0.1287 0.0001 0.0002633
0.05 0.0470 0.001 0.001412
0.005 0.1321 0.0001 0.0002373
0.005 0.1052 0.001 0.0003409
0.05 0.1411 0.0001 0.0002432
0.05 0.0519 0.001 0.001279
0.005 0.1111 0.0001 0.0002722
0.005 0.0889 0.001 0.000362
0.05 0.1233 0.0001 0.0002727
0.05 0.0526 0.001 0.001269
0.005 0.1246 0.0001 0.0002469
0.005 0.1085 0.001 0.0003141
0.05 0.1416 0.0001 0.0002392
0.05 0.0524 0.001 0.00127
0.005 0.1027 0.0001 0.0002995
0.005 0.0974 0.001 0.0003629
0.05 0.1271 0.0001 0.0002735
0.05 0.0509 0.001 0.001468
0.005 0.1108 0.0001 0.0002769
0.005 0.1083 0.001 0.0002997
0.05 0.1347 0.0001 0.0002546
0.05 0.0504 0.001 0.001394
0.005 0.1391 0.0001 0.0002203
0.005 0.1109 0.001 0.0003037
0.05 0.1441 0.0001 0.0002342
0.05 0.0515 0.001 0.001313
0.005 0.1167 0.0001 0.0002624
0.005 0.1006 0.001 0.000346
0.05 0.1343 0.0001 0.0002573
0.05 0.0509 0.001 0.001384
0.005 0.1171 0.0001 0.0002613
0.005 0.0927 0.001 0.0003732
0.05 0.1229 0.0001 0.0002766
0.05 0.0509 0.001 0.001355
0.005 0.1091 0.0001 0.0002816
0.005 0.0990 0.001 0.0003384
0.05 0.1341 0.0001 0.0002594
0.05 0.0537 0.001 0.001382
0.005 0.1141 0.0001 0.0002687
0.005 0.1046 0.001 0.0003315
0.05 0.1280 0.0001 0.0002651
0.05 0.0525 0.001 0.001281
0.005 0.1076 0.0001 0.0002834
0.005 0.0960 0.001 0.0003521
0.05 0.1252 0.0001 0.0002749
0.05 0.0508 0.001 0.001363
0.005 0.1279 0.0001 0.0002385
0.005 0.1118 0.001 0.0002893
0.05 0.1411 0.0001 0.0002416
0.05 0.0506 0.001 0.001295
0.005 0.1347 0.0001 0.0002272
0.005 0.1143 0.001 0.0002934
0.05 0.1428 0.0001 0.0002393
0.05 0.0529 0.001 0.001337
0.005 0.1171 0.0001 0.0002604
0.005 0.0946 0.001 0.0003647
0.05 0.1290 0.0001 0.0002648
0.05 0.0498 0.001 0.001422
0.005 0.1325 0.0001 0.0002323
0.005 0.1140 0.001 0.0002858
0.05 0.1324 0.0001 0.0002598
0.05 0.0509 0.001 0.001336
0.005 0.1181 0.0001 0.000261
0.005 0.1047 0.001 0.0003192
0.05 0.1281 0.0001 0.0002719
0.05 0.0505 0.001 0.001436
0.005 0.1250 0.0001 0.0002459
0.005 0.1114 0.001 0.0002972
0.05 0.1398 0.0001 0.0002415
0.05 0.0504 0.001 0.001253
0.005 0.1274 0.0001 0.000243
0.005 0.1017 0.001 0.0003423
0.05 0.1401 0.0001 0.0002472
0.05 0.0531 0.001 0.001365
