p p_est sigG sigG_est
0.01 0.003281 1e-05 1.496e-05
0.01 0.02115 1e-05 5.561e-06
0.01 0.004821 1e-05 1e-12
0.01 0.01216 1e-05 1.07e-05
0.01 0.01849 1e-05 2.928e-06
0.01 0.005025 1e-05 1.117e-05
0.01 0.005036 1e-05 4.21e-06
0.01 0.001025 1e-05 5.32e-05
0.01 0.004232 1e-05 1.486e-05
0.01 0.0009757 1e-05 5.849e-05
0.005 0.003853 0.0001 0.0001019
0.005 0.002736 0.001 0.001089
0.05 0.008841 0.0001 0.0001385
0.05 0.01466 0.001 0.0009662
0.005 0.0005668 0.0001 0.0001376
0.005 0.002076 0.001 0.0006787
0.05 0.01698 0.0001 0.0001282
0.05 0.02558 0.001 0.0009603
0.005 0.002007 0.0001 7.797e-05
0.005 0.00251 0.001 0.0005446
0.05 0.01763 0.0001 9.091e-05
0.05 0.02224 0.001 0.0008158
0.005 0.0007852 0.0001 0.0003725
0.005 0.00582 0.001 0.000675
0.05 0.007834 0.0001 0.0002097
0.05 0.02229 0.001 0.001016
0.005 0.00125 0.0001 8.976e-05
0.005 0.002581 0.001 0.0007535
0.05 0.005282 0.0001 0.0001998
0.05 0.01267 0.001 0.001197
0.005 0.002507 0.0001 6.634e-05
0.005 0.005286 0.001 0.0004349
0.05 0.01521 0.0001 0.0001183
0.05 0.0246 0.001 0.00094
0.005 0.0001334 0.0001 0.0003734
0.005 0.001319 0.001 0.0009332
0.05 0.008587 0.0001 0.0001771
0.05 0.01347 0.001 0.001189
0.005 0.0005067 0.0001 0.0002363
0.005 0.001452 0.001 0.001225
0.05 0.008499 0.0001 0.000172
0.05 0.01503 0.001 0.001294
0.005 0.004112 0.0001 3.426e-05
0.005 0.003211 0.001 0.0004885
0.05 0.008396 0.0001 0.0002032
0.05 0.01448 0.001 0.001453
0.005 0.003304 0.0001 9.828e-05
0.005 0.003925 0.001 0.0008276
0.05 0.01056 0.0001 0.0002771
0.05 0.01601 0.001 0.001796
0.005 0.0007628 0.0001 0.0001849
0.005 0.001943 0.001 0.001065
0.05 0.01035 0.0001 0.0001382
0.05 0.01634 0.001 0.001068
0.005 0.005309 0.0001 5.393e-05
0.005 0.004104 0.001 0.0007347
0.05 0.01345 0.0001 0.0001358
0.05 0.01818 0.001 0.001111
0.005 0.004846 0.0001 1e-12
0.005 0.004365 0.001 0.000312
0.05 0.01 0.0001 0.0001317
0.05 0.02098 0.001 0.0008649
0.005 0.002785 0.0001 6.316e-05
0.005 0.003864 0.001 0.0007222
0.05 0.009688 0.0001 0.0001306
0.05 0.02168 0.001 0.0008215
0.005 0.0006739 0.0001 7.452e-05
0.005 0.004169 0.001 0.0003927
0.05 0.01984 0.0001 0.0001028
0.05 0.02882 0.001 0.0008101
0.005 0.0006798 0.0001 0.0003626
0.005 0.001733 0.001 0.001548
0.05 0.006091 0.0001 0.000295
0.05 0.01105 0.001 0.001856
0.005 0.002234 0.0001 0.0001072
0.005 0.00494 0.001 0.0004446
0.05 0.00861 0.0001 0.0001902
0.05 0.0188 0.001 0.00101
0.005 0.0001957 0.0001 0.0002855
0.005 0.002892 0.001 0.0003567
0.05 0.00926 0.0001 0.0001467
0.05 0.01833 0.001 0.0008885
0.005 0.001956 0.0001 0.0001035
0.005 0.003538 0.001 0.0007272
0.05 0.009951 0.0001 0.0002137
0.05 0.01825 0.001 0.001186
0.005 0.0003105 0.0001 0.0006626
0.005 0.002025 0.001 0.001221
0.05 0.007715 0.0001 0.000156
0.05 0.01605 0.001 0.0009754
0.005 0.000646 0.0001 9.026e-05
0.005 0.001493 0.001 0.0005109
0.05 0.01156 0.0001 0.0001226
0.05 0.01764 0.001 0.0009606
0.005 0.0006878 0.0001 0.0002401
0.005 0.001724 0.001 0.0009393
0.05 0.01418 0.0001 0.0001463
0.05 0.01894 0.001 0.001081
0.005 0.001254 0.0001 0.0001754
0.005 0.001848 0.001 0.001195
0.05 0.01299 0.0001 0.0001437
0.05 0.01476 0.001 0.001256
0.005 7.194e-05 0.0001 0.0006604
0.005 0.001591 0.001 0.0006259
0.05 0.007226 0.0001 0.0002242
0.05 0.01201 0.001 0.001516
0.005 0.002812 0.0001 6.408e-05
0.005 0.002508 0.001 0.000707
0.05 0.01829 0.0001 9.827e-05
0.05 0.0191 0.001 0.0009516
0.005 0.001285 0.0001 0.000369
0.005 0.004783 0.001 0.0008854
0.05 0.009554 0.0001 0.0002228
0.05 0.01947 0.001 0.001097
0.005 0.003025 0.0001 0.00017
0.005 0.004457 0.001 0.0008288
0.05 0.01705 0.0001 0.0001597
0.05 0.02221 0.001 0.001198
0.005 0.002522 0.0001 0.0001362
0.005 0.00406 0.001 0.0008342
0.05 0.01034 0.0001 0.0002269
0.05 0.0159 0.001 0.001625
0.005 0.00109 0.0001 0.000137
0.005 0.003592 0.001 0.0006194
0.05 0.005349 0.0001 0.0002115
0.05 0.01296 0.001 0.001141
0.005 0.001239 0.0001 0.0002789
0.005 0.003118 0.001 0.0009218
0.05 0.009711 0.0001 0.0001569
0.05 0.01698 0.001 0.001114
0.005 0.0002769 0.0001 0.0003539
0.005 0.001456 0.001 0.0012
0.05 0.006443 0.0001 0.0002214
0.05 0.01631 0.001 0.001215
0.005 0.001084 0.0001 0.0001532
0.005 0.002477 0.001 0.0008267
0.05 0.006285 0.0001 0.0002027
0.05 0.01372 0.001 0.001328
0.005 0.0009563 0.0001 0.0001318
0.005 0.005004 0.001 0.0004187
0.05 0.008789 0.0001 0.0001504
0.05 0.01373 0.001 0.0013
0.005 0.005007 0.0001 1.034e-06
0.005 0.002311 0.001 0.0002377
0.05 0.008012 0.0001 0.0001984
0.05 0.01651 0.001 0.001241
0.005 0.004581 0.0001 6.252e-05
0.005 0.003376 0.001 0.0006312
0.05 0.0133 0.0001 0.0001529
0.05 0.01959 0.001 0.001116
0.005 5.63e-05 0.0001 0.000902
0.005 0.001279 0.001 0.0009024
0.05 0.01525 0.0001 0.0001211
0.05 0.02144 0.001 0.001003
0.005 0.001365 0.0001 0.000209
0.005 0.002023 0.001 0.001708
0.05 0.01684 0.0001 0.0001323
0.05 0.02012 0.001 0.001231
0.005 0.001406 0.0001 0.0001157
0.005 0.002427 0.001 0.0008281
0.05 0.01672 0.0001 0.0001318
0.05 0.02128 0.001 0.001115
0.005 0.002357 0.0001 8.42e-05
0.005 0.002377 0.001 0.0008307
0.05 0.01455 0.0001 0.0001217
0.05 0.02444 0.001 0.0008728
0.005 0.002371 0.0001 0.0001163
0.005 0.005136 0.001 0.0004998
0.05 0.009671 0.0001 0.0001883
0.05 0.01632 0.001 0.001408
0.005 0.004834 0.0001 1e-12
0.005 0.002086 0.001 0.0003669
0.05 0.009721 0.0001 0.0001542
0.05 0.01344 0.001 0.001277
0.005 0.003078 0.0001 3.785e-05
0.005 0.003742 0.001 0.0003189
0.05 0.007326 0.0001 0.0001748
0.05 0.01121 0.001 0.001295
0.005 0.002683 0.0001 0.0001196
0.005 0.004238 0.001 0.0007315
0.05 0.009517 0.0001 0.0002449
0.05 0.02149 0.001 0.001188
0.005 0.001626 0.0001 9.026e-05
0.005 0.004387 0.001 0.0004413
0.05 0.01377 0.0001 0.0001139
0.05 0.01728 0.001 0.001044
0.005 0.0007531 0.0001 0.0001157
0.005 0.002278 0.001 0.0005082
0.05 0.008741 0.0001 0.0001187
0.05 0.01625 0.001 0.0007897
0.005 0.0004729 0.0001 0.0001703
0.005 0.003226 0.001 0.0006596
0.05 0.008168 0.0001 0.0001375
0.05 0.0139 0.001 0.001085
0.005 0.00122 0.0001 0.0001546
0.005 0.002988 0.001 0.000852
0.05 0.0143 0.0001 8.346e-05
0.05 0.02097 0.001 0.000771
0.005 0.001532 0.0001 8.465e-05
0.005 0.002696 0.001 0.0007486
0.05 0.01088 0.0001 0.0001097
0.05 0.02082 0.001 0.0008472
0.005 0.0004913 0.0001 0.0002342
0.005 0.001426 0.001 0.001204
0.05 0.01012 0.0001 0.0001673
0.05 0.01983 0.001 0.001035
0.005 0.001375 0.0001 7.072e-05
0.005 0.002051 0.001 0.0003666
0.05 0.009422 0.0001 0.0001516
0.05 0.02043 0.001 0.0008833
0.005 0.001205 0.0001 0.0001968
0.005 0.003578 0.001 0.0007898
0.05 0.01528 0.0001 0.0001775
0.05 0.02154 0.001 0.001271
0.005 0.0003477 0.0001 0.0002416
0.005 0.002042 0.001 0.0006489
0.05 0.01016 0.0001 0.000202
0.05 0.01461 0.001 0.001508
0.005 0.002062 0.0001 9.088e-05
0.005 0.004916 0.001 0.0004778
0.05 0.0124 0.0001 0.0001359
0.05 0.01685 0.001 0.001288
0.005 0.0008187 0.0001 0.0002671
0.005 0.001698 0.001 0.001547
0.05 0.01223 0.0001 0.0001217
0.05 0.01913 0.001 0.0009304
0.005 0.002632 0.0001 8.564e-05
0.005 0.003477 0.001 0.0006456
0.05 0.006572 0.0001 0.0001553
0.05 0.01575 0.001 0.0008396
0.005 0.003206 0.0001 5.978e-05
0.005 0.004018 0.001 0.0004963
0.05 0.0066 0.0001 0.0001491
0.05 0.0176 0.001 0.0009267
0.005 0.0002238 0.0001 0.0003305
0.005 0.003352 0.001 0.000483
0.05 0.007489 0.0001 0.0001787
0.05 0.01852 0.001 0.0009851
0.005 0.00206 0.0001 0.0001549
0.005 0.005008 0.001 0.0006615
0.05 0.01444 0.0001 0.0001369
0.05 0.02823 0.001 0.0008492
0.005 0.001207 0.0001 7.197e-05
0.005 0.003878 0.001 0.0004868
0.05 0.01282 0.0001 0.0001463
0.05 0.0187 0.001 0.001142
0.005 0.000948 0.0001 8.893e-05
0.005 0.001325 0.001 0.0007354
0.05 0.01238 0.0001 8.732e-05
0.05 0.0251 0.001 0.0006329
0.005 0.0003274 0.0001 0.0001737
0.005 0.002206 0.001 0.000631
0.05 0.007908 0.0001 0.0001601
0.05 0.01476 0.001 0.001136
0.005 0.0004486 0.0001 0.0002093
0.005 0.002143 0.001 0.0006988
0.05 0.004507 0.0001 0.0002803
0.05 0.01431 0.001 0.001313
0.005 0.001047 0.0001 0.0001346
0.005 0.004783 0.001 0.000343
0.05 0.01145 0.0001 0.0001398
0.05 0.02103 0.001 0.000996
0.005 0.003596 0.0001 6.81e-05
0.005 0.005597 0.001 0.0004081
0.05 0.005877 0.0001 0.0002285
0.05 0.0138 0.001 0.00114
0.005 0.004162 0.0001 9.44e-05
0.005 0.004149 0.001 0.000767
0.05 0.01736 0.0001 0.0001089
0.05 0.02317 0.001 0.0008952
0.005 0.004839 0.0001 1e-12
0.005 0.001722 0.001 0.0006123
0.05 0.02258 0.0001 7.287e-05
0.05 0.0316 0.001 0.0006467
0.005 0.003829 0.0001 9.718e-05
0.005 0.003229 0.001 0.0009159
0.05 0.009577 0.0001 0.0002486
0.05 0.01564 0.001 0.001668
0.005 0.003184 0.0001 7.721e-05
0.005 0.005177 0.001 0.0004207
0.05 0.007936 0.0001 0.0002478
0.05 0.01687 0.001 0.001402
0.005 0.001128 0.0001 0.0002599
0.005 0.00324 0.001 0.001143
0.05 0.01682 0.0001 0.0001286
0.05 0.01904 0.001 0.001251
0.005 0.00469 0.0001 3.989e-05
0.005 0.003523 0.001 0.0005332
0.05 0.02434 0.0001 9.389e-05
0.05 0.02642 0.001 0.0008286
0.005 0.0007893 0.0001 0.0002943
