p p_est sigG sigG_est N ld varyH
0.05 0.0499 0.001 0.001 100000 0 0
0.05 0.0518 0.001 0.001 100000 0 0
0.05 0.0467 0.001 0.001 100000 0 0
0.05 0.0452 0.001 0.001 100000 0 0
0.05 0.0472 0.001 0.001 100000 0 0
0.05 0.0463 0.001 0.001 100000 0 0
0.05 0.0495 0.001 0.001 100000 0 0
0.05 0.0486 0.001 0.001 100000 0 0
0.05 0.0593 0.001 0.001 100000 0 0
0.05 0.0474 0.001 0.001 100000 0 0
0.05 0.0528 0.001 0.001 100000 0 0
0.05 0.0547 0.001 0.001 100000 0 0
0.05 0.0489 0.001 0.001 100000 0 0
0.05 0.0474 0.001 0.001 100000 0 0
0.05 0.0540 0.001 0.001 100000 0 0
0.05 0.0540 0.001 0.001 100000 0 0
0.05 0.0534 0.001 0.001 100000 0 0
0.05 0.0481 0.001 0.001 100000 0 0
0.05 0.0492 0.001 0.001 100000 0 0
0.05 0.0536 0.001 0.001 100000 0 0
0.05 0.0561 0.001 0.001 100000 0 0
0.05 0.0493 0.001 0.001 100000 0 0
0.05 0.0470 0.001 0.001 100000 0 0
0.05 0.0483 0.001 0.001 100000 0 0
0.05 0.0479 0.001 0.001 100000 0 0
0.05 0.0563 0.001 0.001 100000 0 0
0.05 0.0520 0.001 0.001 100000 0 0
0.05 0.0468 0.001 0.001 100000 0 0
0.05 0.0441 0.001 0.001 100000 0 0
0.05 0.0475 0.001 0.001 100000 0 0
0.05 0.0550 0.001 0.001 100000 0 0
0.05 0.0511 0.001 0.001 100000 0 0
0.05 0.001 100000 0 0
0.05 0.0512 0.001 0.001 100000 0 0
0.05 0.0461 0.001 0.001 100000 0 0
0.05 0.0496 0.001 0.001 100000 0 0
0.05 0.0476 0.001 0.001 100000 0 0
0.05 0.0498 0.001 0.001 100000 0 0
0.05 0.0480 0.001 0.001 100000 0 0
0.05 0.0496 0.001 0.001 100000 0 0
0.05 0.0521 0.001 0.001 100000 0 0
0.05 0.0537 0.001 0.001 100000 0 0
0.005 0.0045 0.0001 0.0001 100000 0 0
0.005 0.0041 0.0001 0.0001 100000 0 0
0.005 0.0033 0.0001 0.0001 100000 0 0
0.005 0.0065 0.0001 0.0001 100000 0 0
0.005 0.0062 0.0001 0.0001 100000 0 0
0.005 0.0069 0.0001 0.0001 100000 0 0
0.005 0.0031 0.0001 0.0001 100000 0 0
0.005 0.0032 0.0001 0.0001 100000 0 0
0.005 0.0046 0.0001 0.0001 100000 0 0
0.005 0.0054 0.0001 0.0001 100000 0 0
0.005 0.0066 0.0001 0.0001 100000 0 0
0.005 0.0039 0.0001 0.0001 100000 0 0
0.005 0.0040 0.0001 0.0001 100000 0 0
0.005 0.0066 0.0001 0.0001 100000 0 0
0.005 0.0044 0.0001 0.0001 100000 0 0
0.005 0.0060 0.0001 0.0001 100000 0 0
0.005 0.0054 0.0001 0.0001 100000 0 0
0.005 0.0038 0.0001 0.0001 100000 0 0
0.005 0.0034 0.0001 0.0001 100000 0 0
0.005 0.0068 0.0001 0.0001 100000 0 0
0.005 0.0040 0.0001 0.0001 100000 0 0
0.005 0.0066 0.0001 0.0001 100000 0 0
0.005 0.0060 0.0001 0.0001 100000 0 0
0.005 0.0037 0.0001 0.0001 100000 0 0
0.005 0.0059 0.0001 0.0001 100000 0 0
0.005 0.0058 0.0001 0.0001 100000 0 0
0.005 0.0073 0.0001 0.0001 100000 0 0
0.005 0.0055 0.0001 0.0001 100000 0 0
0.005 0.0055 0.0001 0.0001 100000 0 0
0.005 0.0053 0.0001 0.0001 100000 0 0
0.005 0.0043 0.0001 0.0001 100000 0 0
0.005 0.0048 0.0001 0.0001 100000 0 0
0.005 0.0063 0.0001 0.0001 100000 0 0
0.005 0.0027 0.0001 0.0001 100000 0 0
0.005 0.0049 0.0001 0.0001 100000 0 0
0.005 0.0039 0.0001 0.0001 100000 0 0
0.005 0.0070 0.0001 0.0001 100000 0 0
0.005 0.0054 0.0001 0.0001 100000 0 0
0.005 0.0047 0.0001 0.0001 100000 0 0
0.005 0.0052 0.0001 0.0001 100000 0 0
0.005 0.0026 0.0001 0.0001 100000 0 0
0.005 0.0045 0.0001 0.0001 100000 0 0
0.005 0.0051 0.0001 0.0001 100000 0 0
0.005 0.0040 0.0001 0.0001 100000 0 0
0.005 0.0030 0.0001 0.0001 100000 0 0
0.005 0.0053 0.0001 0.0001 100000 0 0
0.005 0.0042 0.0001 0.0001 100000 0 0
0.005 0.0047 0.0001 0.0001 100000 0 0
0.005 0.0048 0.0001 0.0001 100000 0 0
0.005 0.0032 0.0001 0.0001 100000 0 0
0.005 0.0059 0.0001 0.0001 100000 0 0
0.005 0.0032 0.0001 0.0001 100000 0 0
0.005 0.0058 0.0001 0.0001 100000 0 0
0.005 0.0017 0.0001 0.0001 100000 0 0
0.005 0.0031 0.0001 0.0001 100000 0 0
0.005 0.0029 0.0001 0.0001 100000 0 0
0.005 0.0067 0.0001 0.0001 100000 0 0
0.005 0.0070 0.0001 0.0001 100000 0 0
0.005 0.0058 0.0001 0.0001 100000 0 0
0.005 0.0040 0.0001 0.0001 100000 0 0
0.005 0.0047 0.0001 0.0001 100000 0 0
0.005 0.0034 0.0001 0.0001 100000 0 0
0.005 0.0022 0.0001 0.0001 100000 0 0
0.005 0.0044 0.0001 0.0001 100000 0 0
0.005 0.0061 0.0001 0.0001 100000 0 0
0.005 0.0029 0.0001 0.0001 100000 0 0
0.005 0.0038 0.0001 0.0001 100000 0 0
0.005 0.0063 0.0001 0.0001 100000 0 0
0.005 0.0039 0.0001 0.0001 100000 0 0
0.005 0.0074 0.0001 0.0001 100000 0 0
0.005 0.0037 0.0001 0.0001 100000 0 0
0.005 0.0054 0.0001 0.0001 100000 0 0
0.005 0.0042 0.0001 0.0001 100000 0 0
0.005 0.0039 0.0001 0.0001 100000 0 0
0.005 0.0031 0.0001 0.0001 100000 0 0
0.005 0.0057 0.0001 0.0001 100000 0 0
0.005 0.0029 0.0001 0.0001 100000 0 0
0.005 0.0081 0.0001 0.0001 100000 0 0
0.005 0.0047 0.0001 0.0001 100000 0 0
0.005 0.0044 0.0001 0.0001 100000 0 0
0.005 0.0052 0.0001 0.0001 100000 0 0
0.005 0.0059 0.0001 0.0001 100000 0 0
0.005 0.0058 0.0001 0.0001 100000 0 0
0.005 0.0055 0.0001 0.0001 100000 0 0
0.005 0.0052 0.0001 0.0001 100000 0 0
0.005 0.0059 0.0001 0.0001 100000 0 0
0.005 0.0052 0.0001 0.0001 100000 0 0
0.005 0.0040 0.0001 0.0001 100000 0 0
0.005 0.0101 0.0001 0.0001 100000 0 0
